.,Creator Data,Kelas,Title,Alternative Title,URL Photo,Year,Country,Synopsis,Availability,Genres (Up to 5),Actor (Up to 9),Link Trailer,Award,Trailer(link YT)
14,Sarah,3B,Divergent,-,https://posters.movieposterdb.com/14_03/2014/1840309/s_1840309_2f948395.jpg,2014,United States,"In a world divided by factions based on virtues, Tris learns she's Divergent and won't fit in. When she discovers a plot to destroy Divergents, Tris and the mysterious Four must find out what makes Divergents dangerous before it's too late.",Netflix ,"Action, Adventure, Mystery, Sci-Fi","Shailene Woodley, Theo James, Kate Winslet, Jai Courtney, Ray Stevenson, Ashley Judd",https://youtu.be/Aw7Eln_xuWc?si=k4I06AV1XEC1TYzb,2014 Winner Teen Choice Award Choice Movie: Breakout Star,https://youtu.be/Aw7Eln_xuWc?si=k4I06AV1XEC1TYzb
15,Sarah,3B,Insurgent,The Divergent Series: Insurgent,https://posters.movieposterdb.com/15_01/2015/2908446/s_2908446_b96edb43.jpg,2015,United States,Beatrice Prior must confront her inner demons and continue her fight against a powerful alliance which threatens to tear her society apart with the help from others on her side.,Netflix ,"Action, Adventure, Sci-Fi, Thriller","Shailene Woodley, Theo James, Ansel Elgort, Jai Courtney, Tony Goldwyn",https://youtu.be/OBn_LRp-D7U?si=PozBNB6ftInKVdDe,2016 Winner ASCAP Award Top Box Office Films,https://youtu.be/OBn_LRp-D7U?si=PozBNB6ftInKVdDe
16,Fahri,3B,The Shawshank Redemption,Rita Hayworth and the Shawshank Redemption,,,,,,,,,,
17,Fahri,3B,The Godfather,-,,,,,,,,,,
18,Fahri,3B,Pulp Fiction,-,,,,,,,,,,
19,Fahri,3B,The Dark Knight,-,,,,,,,,,,
20,Fahri,3B,Schindler's List,-,,,,,,,,,,
21,Najib,3B,The Boys,-,https://posters.movieposterdb.com/20_01/2019/1190634/l_1190634_22fcc492.jpg,2019,United States,A group of vigilantes set out to take down corrupt superheroes who abuse their superpowers.,Amazon Prime,"Action, Dark Comedy, Superhero, Sci-Fi","Karl Urban, Jack Quaid, Antony Starr, Erin Moriarty, Jessie T. Usher, Laz Alonso, Chace Crawford, Tomer Capone, Karen Fukuhara",https://www.youtube.com/watch?v=5SKP1_F7ReE,2022 Winner Saturn Award Best Streaming Action & Adventure Series,https://www.youtube.com/watch?v=5SKP1_F7ReE
22,Najib,3B,13 Reasons Why,-,https://posters.movieposterdb.com/21_02/2017/1837492/s_1837492_8fa1eebf.jpg,2017,United States,"Follows teenager Clay Jensen, in his quest to uncover the story behind his classmate and crush, Hannah, and her decision to end her life.",Netflix,"Drama, Mystery, Thriller","Dylan Minnette, Christian Navarro, Alisha Boe, Brandon Flynn, Justin Prentice, Ross Butler, Devin Druid, Amy Hargreaves, Miles Heizer",https://www.youtube.com/watch?v=QkT-HIMSrRk,2020 Winner ReFrame Stamp Top 100 Popular Television (2019-2020),https://www.youtube.com/watch?v=QkT-HIMSrRk
23,Najib,3B,500 days of summer,-,https://posters.movieposterdb.com/09_10/2009/1022603/l_1022603_997c5a61.jpg,2009,United States,"After being dumped by the girl he believes to be his soulmate, hopeless romantic Tom Hansen reflects on their relationship to try and figure out where things went wrong and how he can win her back.",Netflix,"Comedy, Drama, Romance","Joseph Gordon-Levitt, Zooey Deschanel, Geoffrey Arend, Chloë Grace Moretz, Matthew Gray Gubler, Clark Gregg, Patricia Belcher, Rachel Boston, Minka Kelly",https://www.youtube.com/watch?v=PsD0NpFSADM,2009 Winner National Board of Review Top Ten Film,https://www.youtube.com/watch?v=PsD0NpFSADM
24,Najib,3B,Sherlock,-,https://posters.movieposterdb.com/10_08/2010/1475582/l_1475582_6c4d4dac.jpg,2010,United States,"The quirky spin on Conan Doyle's iconic sleuth pitches him as a ""high-functioning sociopath"" in modern-day London. Assisting him in his investigations: Afghanistan War vet John Watson, who's introduced to Holmes by a mutual acquaintance.",Amazon Prime,"Crime, Drama, Mystery, Thriller","Benedict Cumberbatch, Martin Freeman, Una Stubbs, Rupert Graves, Louise Brealey, Mark Gatiss, Andrew Scott, Amanda Abbington, Jonathan Aris",https://www.youtube.com/watch?v=gGqWqGOSTGQ,2011 Winner Banff Rockie Award Best Continuing Series,https://www.youtube.com/watch?v=gGqWqGOSTGQ
25,Najib,3B,The Butterfly Effect,-,https://posters.movieposterdb.com/12_11/2004/289879/s_289879_365cbc14.jpg,2004,United States,"Evan Treborn suffers blackouts during significant events of his life. As he grows up, he finds a way to remember these lost memories and a supernatural way to alter his life by reading his journal.",Netiflix,"Drama, Sci-Fi, Thriller","Ashton Kutcher, Melora Walters, Amy Smart, Elden Henson, William Lee Scott, John Patrick Amedori, Irina Gorovaia, Kevin G. Schmidt, Jesse James",https://www.youtube.com/watch?v=LOS5YgJkjZ0,2005 Nominee Saturn Award Best Science Fiction Film,https://www.youtube.com/watch?v=LOS5YgJkjZ0
26,Naia,3B,Twenty Five Twenty One,Seumuldaseot Seumulhana,https://www.imdb.com/title/tt17513352/mediaviewer/rm29353729/,2022,South Korea,"In a time when dreams seem out of reach, a teen fencer pursues big ambitions and meets a hardworking young man who seeks to rebuild his life. At 22 and 18, they say each other's names for the first time, at 25 and 21, they fall in love.",Netflix,"Romance, Drama, Coming of Age, Comedy","Kim Tae-Ri, Nam Joo-Hyuk, Kim Ji-yeon, Choi Hyun-Wook, Lee Joo-Myoung, Seo Jae Hee, Kim Hye Eun, Joo Bo Young, Lee Yea Jin",https://youtu.be/n7F8o-SoK8s?feature=shared,-,https://youtu.be/n7F8o-SoK8s?feature=shared
27,Naia,3B,Mencuri Raden Saleh,Stealing Raden Saleh,https://www.imdb.com/title/tt13484872/mediaviewer/rm1518605569/,2022,Indonesia,"To save his father, a master forger sets out to steal an invaluable painting with the help of a motley crew of specialists.",Netflix,"Action, Drama, Heist, Crime, Comedy","Iqbaal Dhiafakhri Ramadhan, Angga Yunanda, Rachel Amanda, Umay Shahab, Aghniny Haque, Ari Irham, Ganindra Bimo, Andrea Dian, Tio Pakusadewo",https://youtu.be/DN3sRz_veBU?feature=shared,2022 Indonesian Movie Actors Awards: Film Terfavorit,https://youtu.be/DN3sRz_veBU?feature=shared
28,Naia,3B,Stranger Things,-,https://www.imdb.com/title/tt4574334/mediaviewer/rm3336115457/,2016,United States,"In 1980s Indiana, a group of young friends witness supernatural forces and secret government exploits. As they search for answers, the children unravel a series of extraordinary mysteries.",Netflix,"Sci-Fi, Dark Fantasy, Horror, Mystery, Drama","Millie Bobby Brown, Finn Wolfhard, Winona Ryder, David Harbour, Gaten Matarazzo, Caleb McLaughlin, Natalia Dyer, Charlie Heaton, Noah Schnapp",https://youtu.be/mnd7sFt5c3A?feature=shared,"2022 Saturn Awards: Best Streaming Horror & Thriller Series, 2017 dan 2022 Dragon Awards: Best Science Fiction or Fantasy TV Series",https://youtu.be/mnd7sFt5c3A?feature=shared
29,Naia,3B,Alice in BorderLand,Imawa no Kuni no Arisu,https://www.imdb.com/title/tt10795658/mediaviewer/rm1695491329/,2020,Japan,"Obsessed gamer Arisu suddenly finds himself in a strange, emptied-out version of Tokyo in which he and his friends must compete in dangerous games in order to survive.",Netflix,"Survival, Action, Sci-Fi, Mystery, Thriller","Kento Yamazaki, Tao Tsuchiya, Nijirô Murakami, Eleanor Noble, Daniel Rindress-Kay, Aya Asahina, Daniel Brochu, Juliette Gosselin, Yûtarô Watanabe",https://youtu.be/49_44FFKZ1M?feature=shared,2021 Asian Academy Creative Awards: Best Visual or Special VFX in TV Series or Feature Film,https://youtu.be/49_44FFKZ1M?feature=shared
30,Naia,3B,The Moon,Deo mun,https://www.imdb.com/title/tt27688034/mediaviewer/rm2719636225/,2023,South Korea,A man is left in space due to an unfortunate accident while another man on Earth struggles to bring him back safely.,"Vidio, Prime Video","Sci-Fi, Drama, Adventure, Action","Sul Kyung Gu, Doh Kyung Soo, Kim Hee Ae, Park Byung Eun, Jo Han Chul, Choi Byung Mo, Hong Seung Hee, Choi Jung Woo, Lee Sung Min",https://youtu.be/gxMM6Ntv78A?feature=shared,-,https://youtu.be/gxMM6Ntv78A?feature=shared
31,Rere,3B,Moon Knight,,https://prod-ripcut-delivery.disney-plus.net/v1/variant/disney/D57E6C2B5AC51D335FF7DF86DCA0E76A1AACBC5638033ADF97B28E8E480B011B/scale?width=506&amp;aspectRatio=2.00&amp;format=webp,2022,United States Serikat,Steven Grant discovers he's been granted the powers of an Egyptian moon god. But he soon finds out that these newfound powers can be both a blessing and a curse to his troubled life.,Disney+,"Superhero, Action, Adventure, Fantasy","Oscar Isaac, Ethan Hawke, May Calamawy, Michael Benjamin Hernandez, F. Murray Abraham, Ann Akinjirin, Karim El Hakim, David Ganly.",https://www.google.com/search?q=moon+knight+trailer&client=firefox-b-d&sca_esv=3aefff09a9d5a078&sxsrf=ADLYWIJXKevNrKPIKwGXQON5F8zc4Q1Ngw%3A1724655119319&ei=DybMZvKeE_ngseMPpaS92Ac&oq=moon+knigh+tra&gs_lp=Egxnd3Mtd2l6LXNlcnAiDm1vb24ga25pZ2ggdHJhKgIIADIHEAAYgAQYDTIHEAAYgAQYDTIHEAAYgAQYDTIHEAAYgAQYDTIHEAAYgAQYDTIGEAAYFhgeMgYQABgWGB4yBhAAGBYYHjIGEAAYFhgeMgYQABgWGB5IwyJQnwNYkBVwAHgCkAEAmAHAAaABsQqqAQM5LjS4AQHIAQD4AQGYAgegAogGwgIEEAAYR8ICBBAjGCfCAggQABiABBiiBMICChAjGIAEGCcYigXCAgsQLhiABBixAxiDAcICCBAAGIAEGLEDwgIFEC4YgATCAgUQABiABMICBxAjGLACGCfCAgoQABiABBixAxgNwgIHEC4YgAQYDcICEBAuGIAEGLEDGIMBGNQCGA2YAwDiAwUSATEgQIgGAZAGCJIHBTIuNC4xoAfXhgE&sclient=gws-wiz-serp#,2022 50th Anniversary Saturn Awards.,https://www.youtube.com/watch?v=x7Krla_UxRg
32,Rere,3B,Avenger : Endgame,,https://prod-ripcut-delivery.disney-plus.net/v1/variant/disney/DB176BD1488D7E4822256EF1778C124FC17388FC1E7F0F6D89B38AFF5FB001F6/scale?width=1200&aspectRatio=1.78&format=webp,2019,United States Serikat,"After the devastating events of Avengers: Infinity War (2018), the universe is in ruins. With the help of remaining allies, the Avengers assemble once more in order to reverse Thanos' actions and restore balance to the universe.",Disney+,"Superhero, Action, Time Travel, Sci-Fi ","Robert Downey Jr. , Chris Evans , Mark Ruffalo , Chris Hemsworth , Scarlett Johansson , Jeremy Renner , Don Cheadle , Paul Rudd , Brie Larson , Karen Gillan , Danai Gurira , Benedict Wong , Jon Favreau , Bradley Cooper , Gwyneth Paltrow , dan Josh Brolin",https://www.google.com/url?sa=t&source=web&rct=j&opi=89978449&url=https://www.youtube.com/watch%3Fv%3DiKaruCq6ZY8&ved=2ahUKEwj9j-78h5KIAxUme2wGHUy6HIQQ3yx6BAgWEAI&usg=AOvVaw190JJP_OGN8_vEBQ-aqr_R,"2019 People's Choice Award untuk Film Terfavorit, MTV Movie & TV Award untuk Tokoh Antagon",https://www.youtube.com/watch?v=iKaruCq6ZY8
33,Rere,3B,What If...?,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRLXdZZt0GwN7zCAJcnsbbvYM2mvKYlcYwC3Q&s,2021,United States Serikat,"Exploring pivotal moments from the Marvel Cinematic Universe and turning them on their head, leading the audience into uncharted territory.",Disney+,"Superhero, Action, Animation","Jeffrey Wright, Terri Douglas, Matthew Wood, Robin Atkin Downes, Fred Tatasciore, Mick Wingert, Josh Keaton, Helen Sadler.",https://www.google.com/url?sa=t&source=web&rct=j&opi=89978449&url=https://www.youtube.com/watch%3Fv%3Dx9D0uUKJ5KI&ved=2ahUKEwi92vLuhpKIAxW2SGcHHVWAFDIQtwJ6BAgMEAI&usg=AOvVaw1d4_Z4KPVjlRdd06pZYxf5,2022 Nominee Primetime Emmy. Outstanding Animated Program.,https://www.youtube.com/watch?v=x9D0uUKJ5KI
34,Rere,3B,Deadpool 2,,https://www.google.com/url?sa=i&url=https%3A%2F%2Fwww.marvel.com%2Fmovies%2Fdeadpool-2&psig=AOvVaw2dKlUvctklnBFvnhyfFDAw&ust=1724739856343000&source=images&cd=vfe&opi=89978449&ved=0CBQQjRxqFwoTCOC12PCCkogDFQAAAAAdAAAAABAR,2018,United States Serikat,"Foul-mouthed mutant mercenary Wade Wilson (a.k.a. Deadpool) assembles a team of fellow mutant rogues to protect a young boy with abilities from the brutal, time-traveling cyborg Cable.",Disney+,"Dark comedy, Superhero, Action","Ryan Reynolds, Josh Brolin, Morena Baccarin, Julian Dennison, Zazie Beetz, T.J. Miller, Brianna Hildebrand, Jack Kesy",https://youtu.be/20bpjtCbCz0,2018 Winner Golden Schmoes. Best Comedy of the Year,https://youtu.be/20bpjtCbCz0
35,Rere,3B,Loki,,https://cinemags.org/wp-content/uploads/2021/05/loki-poster.jpg,2021,United States Serikat,The mercurial villain Loki resumes his role as the God of Mischief in a new series that takes place after the events of “Avengers: Endgame.”,Disney+,"Superhero, Time Travel, Adventure, Fantasy","Tom Hiddleston, Sophia Di Martino, Gugu Mbatha-Raw, Wunmi Mosaku, Eugene Cordero, Rafael Casal, Tara Strong, Kate Dickie, Liz Carr, Neil Ellice, with Jonathan Majors, Ke Huy Quan and Owen Wilson",https://www.google.com/url?sa=t&source=web&rct=j&opi=89978449&url=https://www.youtube.com/watch%3Fv%3DnW948Va-l10&ved=2ahUKEwiNt5vthJKIAxXuRmwGHfWRCSYQtwJ6BAgVEAI&usg=AOvVaw396aAshgqDVCbFY-s_pV-H,People's Choice Award untuk Serial TV Sci/Fi/Fantasy Favorit,https://www.youtube.com/watch?v=nW948Va-l10
36,Aryo,3A,The Good Doctor,-,https://m.media-amazon.com/images/M/MV5BNjMwNDNkMzEtNzRmNy00YmExLTg3ZWYtM2NjMjFjNWY3MmM0XkEyXkFqcGdeQXVyMTY0Njc2MTUx._V1_FMjpg_UX1000_.jpg,2017,Amerika Serikat,"Shaun Murphy, a young surgeon with autism and savant syndrome, relocates from a quiet country life to join a prestigious hospital surgical unit. Alone in the world and unable to personally connect with those around him, Shaun uses his extraordinary medical gifts to save lives and challenge the skepticism of his colleagues.",Netflix,Drama,"Freddie Highmore, Antonia Thomas, Paige Spara, Fiona Gubelmann, Richard Schiff",https://youtu.be/lnY9FWUTY84,"Golden Globes, USA",
37,Aryo,3A,The Outsider,-,https://m.media-amazon.com/images/M/MV5BNzgxOTc4ODctNDNhZC00M2UzLTgyYzgtM2Q2OTk3NmQ5NTljXkEyXkFqcGdeQXVyMzQ2MDI5NjU@._V1_.jpg,2020,Amerika Serikat,"Terry Maitland, a suburban parent, is accused of a grisly murder. Detective Ralph Anderson struggles to solve the bizarre case as he finds some conflicting clues.",HBO,"Crime drama, Mystery, Horror","Ben Mendelsohn, Cynthia Erivo, Bill Camp, Paddy Considine, Julianne Nicholson",https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=&cad=rja&uact=8&ved=2ahUKEwjz0ZOp8pGIAxWUyTgGHeWxLYcQryQoAHoECCUQAQ&url=https%3A%2F%2Fwww.youtube.com%2Fwatch%3Fv%3DeNDKWr3Xmjk&usg=AOvVaw0HWbIlMK1sG5gJqtc9ZTS5&opi=89978449,Gold Derby Awards,
38,Aryo,3A,Moana,-,https://upload.wikimedia.org/wikipedia/id/thumb/2/26/Moana_Teaser_Poster.jpg/220px-Moana_Teaser_Poster.jpg,2016,Amerika Serikat,"Moana, daughter of chief Tui, embarks on a journey to return the heart of goddess Te Fitti from Maui, a demigod, after the plants and the fish on her island start dying due to a blight.",Disney+,"Animation, Adventure, Musical, Action, Fantasy","Auliʻi Cravalho, Dwayne Johnson, Alan Tudyk, Jemaine Clement, Lin-Manuel Miranda",https://youtu.be/LKFuXETZUsI,Bandung Film Festival for Imported Film,
39,Aryo,3A,Five Night At Freddy,-,https://upload.wikimedia.org/wikipedia/en/thumb/d/d6/Five_Nights_At_Freddy%27s_poster.jpeg/220px-Five_Nights_At_Freddy%27s_poster.jpeg,2023,Amerika Serikat,"A troubled security guard begins working at Freddy Fazbear's Pizzeria. While spending his first night on the job, he realizes the late shift at Freddy's won't be so easy to make it through.",Netflix,"Horror, Mystery, Adaptation, Thriller, Drama","Josh Hutcherson, Elizabeth Lail, Matthew Lillard, Piper Rubio, MatPat",https://youtu.be/0VH9WCFV6XQ,Golden Scythe Horror Awards,
40,Aryo,3A,Wonka,-,https://awsimages.detik.net.id/community/media/visual/2023/12/08/film-wonka-2.jpeg?w=600&q=90,2023,Amerika Serikat,"Armed with nothing but a hatful of dreams, young chocolatier Willy Wonka manages to change the world, one delectable bite at a time.",Netflix,"Musical, Comedy, Adventure, Fantasy","Timothée Chalamet, Hugh Grant, Rowan Atkinson, Olivia Colman, Calah Lane",https://youtu.be/otNh9bTjXWg,Kids' Choice Award for Favorite Movie Actor,
41,Rohiid,3A,Toy Story 1,-,https://www.imdb.com/title/tt0114709/mediaviewer/rm3813007616/?ref_=tt_ov_i,1995,United States,"A little boy named Andy loves to be in his room, playing with his toys, especially his doll named ""Woody"". But, what do the toys do when Andy is not with them, they come to life. Woody believes that his life (as a toy) is good. However, he must worry about Andy's family moving, and what Woody does not know is about Andy's birthday party. Woody does not realize that Andy's mother gave him an action figure known as Buzz Lightyear, who does not believe that he is a toy, and quickly becomes Andy's new favorite toy. Woody, who is now consumed with jealousy, tries to get rid of Buzz. Then, both Woody and Buzz are now lost. They must find a way to get back to Andy before he moves without them, but they will have to pass through a ruthless toy killer, Sid Phillips.","Disney+, Prime Video","Animation, Adventure, Comedy, Family, Fantasy.","Tom Hanks, Tim Allen, Joan Cusack, Kelsey Grammer, Don Rickles, Jim Varney, Wallace Shawn,John Ratzenberger, Annie Potts",https://www.youtube.com/watch?v=v-PjgYDrg70,Special Achievement Academy Award,https://www.youtube.com/watch?v=v-PjgYDrg70
42,Rohiid,3A,Toy Story 2,-,https://www.imdb.com/title/tt0120363/mediaviewer/rm1969689600/?ref_=tt_ov_i,1999,United States,"While Andy is away at summer camp Woody has been toynapped by Al McWiggin, a greedy collector and proprietor of ""Al's Toy Barn"". In this all-out rescue mission, Buzz and his friends Mr. Potato Head, Slinky Dog, Rex and Hamm spring into action to rescue Woody from winding up as a museum piece. They must find a way to save him before he gets sold in Japan forever and they'll never see him again.","Disney+, Prime Video","Animation, Adventure, Comedy, Family, Fantasy.","Tom Hanks, Tim Allen, Don Rickles, Jim Varney, Wallace Shawn, John Ratzenberger, Annie Potts, John Morris, Erik von Detten.",https://www.imdb.com/video/vi2052129305/?ref_=tt_vi_i_1,"Annie Award for Outstanding Achievement for Music in a Feature Production
",https://www.youtube.com/watch?v=xNWSGRD5CzU
43,Rohiid,3A,Toy Story 3,-,https://www.imdb.com/title/tt0435761/mediaviewer/rm3038678784/?ref_=tt_ov_i,2010,United States,"Woody, Buzz and the whole gang are back. As their owner Andy prepares to depart for college, his loyal toys find themselves in daycare where untamed tots with their sticky little fingers do not play nice. So, it's all for one and one for all as they join Barbie's counterpart Ken, a thespian hedgehog named Mr. Pricklepants and a pink, strawberry-scented teddy bear called Lots-o'-Huggin' Bear to plan their great escape.","Disney+, Prime Video","Animation, Adventure, Comedy, Family, Fantasy.","Tom Hanks, Tim Allen, Joan Cusack, Don Rickles, Wallace Shawn,John Ratzenberger, Annie Potts, John Morris, Jodi Benson",https://www.imdb.com/video/vi3676898329/?playlistId=tt0435761&ref_=tt_ov_vi,"Academy Award untuk Film Animasi Terbaik
",https://www.youtube.com/watch?v=JcpWXaA2qeg
44,Rohiid,3A,Toy Story 4,-,https://www.imdb.com/title/tt1979376/mediaviewer/rm3789906688/?ref_=tt_ov_i,2019,United States,"Woody, Buzz Lightyear and the rest of the gang embark on a road trip with Bonnie and a new toy named Forky. The adventurous journey turns into an unexpected reunion as Woody's slight detour leads him to his long-lost friend Bo Peep. As Woody and Bo discuss the old days, they soon start to realize that they're two worlds apart when it comes to what they want from life as a toy.","Disney+, Prime Video","Animation, Adventure, Comedy, Family, Fantasy.","Tom Hanks, Tim Allen, Joan Cusack, Wallace Shawn, John Ratzenberger, Keanu Reeves, Tony Hale, Jordan Peele, Annie Potts.",https://www.imdb.com/video/vi1497349145/?playlistId=tt1979376&ref_=tt_pr_ov_vi,Best Animated Feature at the 25th Critics' Choice Awards,https://www.youtube.com/watch?v=wmiIUN-7qhE
45,Rohiid,3A,UP,-,https://www.imdb.com/title/tt1049413/mediaviewer/rm3826338560/?ref_=tt_ov_i,2009,United States,"As a boy, Carl Fredricksen wanted to explore South America and find the forbidden Paradise Falls. About 64 years later he gets to begin his journey along with Boy Scout Russell by lifting his house with thousands of balloons. On their journey, they make many new friends including a talking dog, and figure out that someone has evil plans. Carl soon realizes that this evildoer is his childhood idol.","Disney+, Prime Video","Animation, Adventure, Comedy, Family, Fantasy.","Edward Asner, Jordan Nagai, John Ratzenberger, Christopher Plummer, Bob Peterson, Delroy Lindo, Jerome Ranft, David Kaye, Elie Docter.",https://www.youtube.com/watch?v=ORFWdXl_zJ4, Academy Award for Animated Feature,https://www.youtube.com/watch?v=ORFWdXl_zJ4
